,accuracy,precision,recall,f1_score,auc_roc
Baseline,0.6222222222222222,0.5555555555555556,0.2777777777777778,0.37037037037037035,0.5493827160493827
SMOTE,0.5777777777777777,0.46153846153846156,0.3333333333333333,0.3870967741935484,0.6152263374485596
Class_Weights,0.5555555555555556,0.4166666666666667,0.2777777777777778,0.3333333333333333,0.5843621399176955
SMOTE+Weights,0.5777777777777777,0.46153846153846156,0.3333333333333333,0.3870967741935484,0.6152263374485596
