feature,importance
action_class_21_scaled,0.8429286087506374
action_class_11,0.7389098867893119
action_class_25,0.5810985562323379
action_class_07_scaled,0.4606259873390065
action_class_12,0.45882521375961033
action_class_24_scaled,0.42363324591050155
action_class_04,0.3999790834119635
action_class_00,0.3819137256665976
action_class_39,0.34453662237767896
action_class_31_scaled,0.33515439789912144
action_class_25_scaled,0.3230937959701019
action_class_38,0.31650951285128315
action_class_21,0.2965455478617527
action_class_49_scaled,0.28064500869161074
action_class_09_scaled,0.2790508603961719
action_class_06,0.27502484602832933
action_class_07,0.25803353473465346
action_class_17,0.2513599454621883
action_class_22,0.2493233957153153
action_class_20_scaled,0.24876158278997304
action_class_05,0.24158381684982802
action_class_31,0.23244171967968055
action_class_04_scaled,0.21946974000670913
action_class_48_scaled,0.21918146929194326
action_class_12_scaled,0.21038966998301878
action_class_13,0.20831742031108982
action_class_08,0.19000679980723284
action_class_24,0.18643031627771278
action_class_23,0.1759826936936372
action_class_08_scaled,0.16649200078516713
action_class_10_scaled,0.1540522291758402
action_class_23_scaled,0.13453775056075867
action_class_00_scaled,0.13368093771481881
action_class_06_scaled,0.13110105895849744
action_class_13_scaled,0.12884732682747205
action_class_22_scaled,0.10660926670040927
action_class_50_scaled,0.10602469597797257
action_class_39_scaled,0.09378146257323196
action_class_10,0.08232460304745545
action_class_11_scaled,0.08077791148885102
action_class_50,0.06942967696123639
action_class_05_scaled,0.06427686109683248
action_class_48,0.047158003175788735
action_class_09,0.045932373558817796
action_class_49,0.029876061310514554
action_class_17_scaled,0.022129999134163223
action_class_38_scaled,4.655375884335593e-19
action_class_35,0.0
action_class_36,0.0
action_class_37,0.0
action_class_34,0.0
action_class_14,0.0
action_class_19,0.0
action_class_18,0.0
action_class_16,0.0
action_class_20,0.0
action_class_15,0.0
action_class_03,0.0
action_class_01,0.0
action_class_02,0.0
action_class_33,0.0
action_class_32,0.0
action_class_29,0.0
action_class_30,0.0
action_class_26,0.0
action_class_27,0.0
action_class_28,0.0
action_class_51,0.0
action_class_03_scaled,0.0
action_class_02_scaled,0.0
action_class_01_scaled,0.0
action_class_40,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_14_scaled,0.0
action_class_41,0.0
action_class_42,0.0
action_class_43,0.0
action_class_47,0.0
action_class_46,0.0
action_class_45,0.0
action_class_44,0.0
action_class_27_scaled,0.0
action_class_28_scaled,0.0
action_class_29_scaled,0.0
action_class_26_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_33_scaled,0.0
action_class_32_scaled,0.0
action_class_30_scaled,0.0
action_class_40_scaled,0.0
action_class_37_scaled,0.0
action_class_36_scaled,0.0
action_class_43_scaled,0.0
action_class_42_scaled,0.0
action_class_41_scaled,0.0
action_class_44_scaled,0.0
action_class_47_scaled,0.0
action_class_46_scaled,0.0
action_class_45_scaled,0.0
action_class_51_scaled,0.0
