,accuracy,precision,recall,f1_score,f1_weighted,f1_macro,auc_roc,avg_precision
Random Forest,0.6086956521739131,0.4117647058823529,0.4666666666666667,0.4375,0.6144021739130434,0.56875,0.567741935483871,0.37947169965934596
Logistic Regression,0.5,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.5154791154791155,0.4800982800982801,0.5591397849462365,0.36151920467457815
XGBoost,0.5,0.2777777777777778,0.3333333333333333,0.30303030303030304,0.5100154083204932,0.45659989727786343,0.5311827956989248,0.4104216486585302
