,accuracy,precision,recall,f1_score,f1_weighted,auc_roc
Natural_Distribution,0.5869565217391305,0.375,0.4,0.3870967741935484,0.5902329110431563,0.5408602150537634
Class_Weights,0.6739130434782609,0.5,0.4666666666666667,0.4827586206896552,0.6708788462911401,0.6064516129032258
XGBoost_Scale,0.5217391304347826,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.5359730848861283,0.5032258064516129
