feature,importance
action_class_21,0.069242574
action_class_06_scaled,0.06449815
action_class_06,0.060281888
action_class_04,0.050111942
action_class_21_scaled,0.04720649
action_class_12_scaled,0.042346094
action_class_09_scaled,0.041498024
action_class_39,0.04029878
action_class_11,0.039685152
action_class_05,0.038223676
action_class_12,0.037428357
action_class_08,0.036933612
action_class_04_scaled,0.03525551
action_class_23_scaled,0.034468934
action_class_22,0.033672404
action_class_08_scaled,0.03357387
action_class_23,0.031375233
action_class_05_scaled,0.031203784
action_class_10,0.031038979
action_class_50,0.030593714
action_class_50_scaled,0.03024272
action_class_39_scaled,0.029965945
action_class_22_scaled,0.029872498
action_class_10_scaled,0.029530482
action_class_11_scaled,0.026253248
action_class_09,0.025197918
action_class_20,0.0
action_class_24,0.0
action_class_00,0.0
action_class_01,0.0
action_class_02,0.0
action_class_03,0.0
action_class_07,0.0
action_class_15,0.0
action_class_13,0.0
action_class_14,0.0
action_class_19,0.0
action_class_18,0.0
action_class_17,0.0
action_class_16,0.0
action_class_38,0.0
action_class_37,0.0
action_class_36,0.0
action_class_35,0.0
action_class_33,0.0
action_class_34,0.0
action_class_32,0.0
action_class_31,0.0
action_class_27,0.0
action_class_30,0.0
action_class_29,0.0
action_class_28,0.0
action_class_25,0.0
action_class_26,0.0
action_class_42,0.0
action_class_40,0.0
action_class_03_scaled,0.0
action_class_02_scaled,0.0
action_class_01_scaled,0.0
action_class_00_scaled,0.0
action_class_51,0.0
action_class_49,0.0
action_class_48,0.0
action_class_47,0.0
action_class_07_scaled,0.0
action_class_13_scaled,0.0
action_class_14_scaled,0.0
action_class_41,0.0
action_class_44,0.0
action_class_45,0.0
action_class_46,0.0
action_class_43,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_17_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_25_scaled,0.0
action_class_24_scaled,0.0
action_class_20_scaled,0.0
action_class_28_scaled,0.0
action_class_29_scaled,0.0
action_class_30_scaled,0.0
action_class_31_scaled,0.0
action_class_32_scaled,0.0
action_class_33_scaled,0.0
action_class_26_scaled,0.0
action_class_27_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_37_scaled,0.0
action_class_36_scaled,0.0
action_class_40_scaled,0.0
action_class_41_scaled,0.0
action_class_42_scaled,0.0
action_class_38_scaled,0.0
action_class_43_scaled,0.0
action_class_44_scaled,0.0
action_class_46_scaled,0.0
action_class_45_scaled,0.0
action_class_47_scaled,0.0
action_class_48_scaled,0.0
action_class_49_scaled,0.0
action_class_51_scaled,0.0
