feature,importance
action_class_48_scaled,0.786216742782465
action_class_00_scaled,0.5166640368123556
action_class_21_scaled,0.4138283598339149
action_class_25_scaled,0.33672721277069856
action_class_22_scaled,0.33606297915491323
action_class_08_scaled,0.3329990337372784
action_class_05_scaled,0.31550885696492614
action_class_39_scaled,0.30780770423822257
action_class_38_scaled,0.28982007817381106
action_class_49_scaled,0.27427386409266363
action_class_09_scaled,0.2650370232962977
action_class_20_scaled,0.23779581706126668
action_class_13_scaled,0.2330882851120636
action_class_11_scaled,0.17966642135115254
action_class_23_scaled,0.16626123369086243
action_class_10_scaled,0.10672837606610608
action_class_12_scaled,0.053180527898330304
action_class_07_scaled,0.046728201410838825
action_class_50_scaled,0.0458464669766936
action_class_31_scaled,0.04254880472493721
action_class_24_scaled,0.041195006759290186
action_class_04_scaled,0.030141088793811475
action_class_06_scaled,0.020851713032742806
action_class_17_scaled,4.520138738784583e-20
action_class_14_scaled,0.0
action_class_01_scaled,0.0
action_class_02_scaled,0.0
action_class_03_scaled,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_27_scaled,0.0
action_class_28_scaled,0.0
action_class_29_scaled,0.0
action_class_26_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_33_scaled,0.0
action_class_32_scaled,0.0
action_class_30_scaled,0.0
action_class_40_scaled,0.0
action_class_37_scaled,0.0
action_class_36_scaled,0.0
action_class_43_scaled,0.0
action_class_42_scaled,0.0
action_class_41_scaled,0.0
action_class_44_scaled,0.0
action_class_47_scaled,0.0
action_class_46_scaled,0.0
action_class_45_scaled,0.0
action_class_51_scaled,0.0
