,accuracy,precision,recall,f1_score,f1_weighted,f1_macro,auc_roc,avg_precision
Random Forest,0.6304347826086957,0.4166666666666667,0.3333333333333333,0.37037037037037035,0.6184318097361575,0.5544159544159544,0.5870967741935484,0.3943119143252507
Logistic Regression,0.4782608695652174,0.2857142857142857,0.4,0.3333333333333333,0.49378881987577633,0.45238095238095233,0.3870967741935484,0.2943911505624216
XGBoost,0.6521739130434783,0.47058823529411764,0.5333333333333333,0.5,0.6572463768115941,0.6166666666666667,0.5698924731182795,0.41056148847986507
