,accuracy,precision,recall,f1_score,f1_weighted,auc_roc
Natural_Distribution,0.6304347826086957,0.375,0.2,0.2608695652173913,0.59294265910523,0.5731182795698925
Class_Weights,0.5434782608695652,0.2,0.13333333333333333,0.16,0.5148604802076573,0.5387096774193549
XGBoost_Scale,0.6739130434782609,0.5,0.4666666666666667,0.4827586206896552,0.6708788462911401,0.5763440860215054
