,accuracy,precision,recall,f1_score,f1_weighted,f1_macro,auc_roc,avg_precision
Random Forest,0.5869565217391305,0.3333333333333333,0.26666666666666666,0.2962962962962963,0.5735414344109996,0.5019943019943021,0.535483870967742,0.3495742814125728
Logistic Regression,0.4782608695652174,0.2857142857142857,0.4,0.3333333333333333,0.49378881987577633,0.45238095238095233,0.3978494623655914,0.29772712520784905
XGBoost,0.6521739130434783,0.47058823529411764,0.5333333333333333,0.5,0.6572463768115941,0.6166666666666667,0.5698924731182795,0.41056148847986507
