,accuracy,precision,recall,f1_score,f1_weighted,auc_roc
Natural_Distribution,0.6521739130434783,0.46153846153846156,0.4,0.42857142857142855,0.6451863354037267,0.5440860215053763
Class_Weights,0.6304347826086957,0.4,0.26666666666666666,0.32,0.6072680077871513,0.5473118279569892
XGBoost_Scale,0.6739130434782609,0.5,0.4666666666666667,0.4827586206896552,0.6708788462911401,0.5763440860215054
