feature,importance
action_class_09,0.0651725280808636
action_class_39_scaled,0.06305261070928733
action_class_09_scaled,0.05971401635502915
action_class_10_scaled,0.05652417372255771
action_class_39,0.05578413273591073
action_class_22,0.053767948816503854
action_class_22_scaled,0.05280876124144285
action_class_05_scaled,0.048019887142078874
action_class_08,0.045358773638573685
action_class_04_scaled,0.04096163070333042
action_class_10,0.03802434334250969
action_class_05,0.036913411904155556
action_class_08_scaled,0.03442000618208287
action_class_11,0.03399009547808852
action_class_04,0.03294057224787028
action_class_50_scaled,0.03267963127751219
action_class_12,0.030660667203334796
action_class_11_scaled,0.03053726181334135
action_class_50,0.025081172220669423
action_class_23_scaled,0.025037651361184726
action_class_12_scaled,0.024596782429018776
action_class_23,0.023634676016918113
action_class_21,0.02103897606708451
action_class_06,0.01550070253232488
action_class_21_scaled,0.012256494910576428
action_class_06_scaled,0.011380284143256432
action_class_49_scaled,0.01076188562827221
action_class_49,0.006432292952341726
action_class_07,0.0057606347477050165
action_class_07_scaled,0.0023791267929491665
action_class_48_scaled,0.002243104507302582
action_class_25,0.000714078388300511
action_class_13,0.0005427745502915956
action_class_00,0.0003794985490007384
action_class_24_scaled,0.000259700012918347
action_class_24,0.0002356367245398539
action_class_00_scaled,0.00021730891696334465
action_class_13_scaled,0.0002161458923337855
action_class_48,6.200615743613439e-07
action_class_25_scaled,8.494813836264914e-19
action_class_38,0.0
action_class_37,0.0
action_class_36,0.0
action_class_35,0.0
action_class_33,0.0
action_class_34,0.0
action_class_32,0.0
action_class_31,0.0
action_class_27,0.0
action_class_30,0.0
action_class_29,0.0
action_class_28,0.0
action_class_26,0.0
action_class_18,0.0
action_class_17,0.0
action_class_20,0.0
action_class_16,0.0
action_class_15,0.0
action_class_14,0.0
action_class_19,0.0
action_class_01,0.0
action_class_03,0.0
action_class_02,0.0
action_class_46,0.0
action_class_03_scaled,0.0
action_class_02_scaled,0.0
action_class_01_scaled,0.0
action_class_51,0.0
action_class_44,0.0
action_class_45,0.0
action_class_40,0.0
action_class_41,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_17_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_14_scaled,0.0
action_class_42,0.0
action_class_43,0.0
action_class_47,0.0
action_class_29_scaled,0.0
action_class_30_scaled,0.0
action_class_31_scaled,0.0
action_class_28_scaled,0.0
action_class_20_scaled,0.0
action_class_26_scaled,0.0
action_class_27_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_33_scaled,0.0
action_class_32_scaled,0.0
action_class_40_scaled,0.0
action_class_36_scaled,0.0
action_class_37_scaled,0.0
action_class_38_scaled,0.0
action_class_43_scaled,0.0
action_class_42_scaled,0.0
action_class_41_scaled,0.0
action_class_44_scaled,0.0
action_class_47_scaled,0.0
action_class_46_scaled,0.0
action_class_45_scaled,0.0
action_class_51_scaled,0.0
