,accuracy,precision,recall,f1_score,auc_roc,avg_precision
XGBoost,0.6,0.5,0.3333333333333333,0.4,0.4876543209876543,0.4203044882816049
Random Forest,0.6222222222222222,0.5555555555555556,0.2777777777777778,0.37037037037037035,0.4218106995884774,0.413287256644502
Logistic Regression,0.5333333333333333,0.42105263157894735,0.4444444444444444,0.43243243243243246,0.5205761316872428,0.4841158061324631
