,model_type,balance_method,accuracy,precision,recall,f1_score,auc_roc
XGBoost_none_xgb_top1_none,XGBoost,none,0.4782608695652174,0.46343873517786566,0.4782608695652174,0.46801696712619306,0.5971467391304348
Random Forest_none_rf_top1_none,Random Forest,none,0.5434782608695652,0.5028180354267311,0.5434782608695652,0.5075614366729679,0.6051044868979651
SVM_none_svm_top1_none,SVM,none,0.5217391304347826,0.40707587382779203,0.5217391304347826,0.4347080319188604,0.46891011564924606
XGBoost_smote_xgb_top1_smote,XGBoost,smote,0.45652173913043476,0.45362318840579713,0.45652173913043476,0.4547380156075808,0.5930843763724198
Random Forest_smote_rf_top1_smote,Random Forest,smote,0.41304347826086957,0.4257266869958686,0.41304347826086957,0.4156429721647113,0.5737698543405065
SVM_smote_svm_top1_smote,SVM,smote,0.34782608695652173,0.37450592885375494,0.34782608695652173,0.3368387234953952,0.5719857085346215
