,accuracy,precision,recall,f1_score,auc_roc,avg_precision
XGBoost,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.48,0.8927281621097313
Random Forest,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353,0.5549999999999999,0.9126838085171602
Logistic Regression,0.8666666666666667,0.9047619047619048,0.95,0.926829268292683,0.55,0.8862955872899834
