,accuracy,precision,recall,f1_score,auc_roc,avg_precision
XGBoost,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5987654320987653,0.5538627695707039
Random Forest,0.6222222222222222,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.6574074074074074,0.6156810237640711
Logistic Regression,0.6,0.5,0.6666666666666666,0.5714285714285714,0.6399176954732511,0.552168275261267
