,clustering_type,model_type,balance_method,accuracy,precision,recall,f1_score,auc_roc
Top5_XGBoost_none_top5_xgb_none,top5,XGBoost,none,0.5333333333333333,0.4844017094017094,0.5333333333333333,0.5048639522046887,0.5849040165533081
Top5_Random Forest_none_top5_rf_none,top5,Random Forest,none,0.6222222222222222,0.5623931623931624,0.6222222222222222,0.5515151515151515,0.5754274456225805
Top5_SVM_none_top5_svm_none,top5,SVM,none,0.6,0.36,0.6,0.45,0.38391101606819333
Top5_XGBoost_smote_top5_xgb_smote,top5,XGBoost,smote,0.5555555555555556,0.5140809011776754,0.5555555555555556,0.5323116219667944,0.6371815814745513
Top5_Random Forest_smote_top5_rf_smote,top5,Random Forest,smote,0.5555555555555556,0.5264367816091954,0.5555555555555556,0.5404761904761906,0.5947627392160939
Top5_SVM_smote_top5_svm_smote,top5,SVM,smote,0.5777777777777777,0.5580246913580247,0.5777777777777777,0.5673202614379085,0.6269664478699495
