feature,importance
cluster_098_scaled,0.027250245610126202
cluster_061_scaled,0.025463654306021634
cluster_012_scaled,0.024175419385094772
cluster_022_scaled,0.023249040512928133
cluster_087_scaled,0.019514375406194353
cluster_084_scaled,0.01842980124266211
cluster_079_scaled,0.01761096216232648
cluster_056_scaled,0.016549478633183325
cluster_019_scaled,0.015581578487675149
cluster_081_scaled,0.014989122208882438
cluster_040_scaled,0.014867003481024231
cluster_017_scaled,0.01481492277826867
cluster_074_scaled,0.014777546876426118
cluster_016_scaled,0.014520781499783171
cluster_006_scaled,0.014461446789985656
cluster_025_scaled,0.014337698450459492
cluster_009_scaled,0.013759988440195638
cluster_031_scaled,0.01341663566508484
cluster_069_scaled,0.01338061481446088
cluster_003_scaled,0.013208989597297693
cluster_062_scaled,0.01316009407868207
cluster_039_scaled,0.013110472358475875
cluster_078_scaled,0.01257737787689516
cluster_037_scaled,0.012401722135992731
cluster_060_scaled,0.012075589727463889
cluster_030_scaled,0.011988970889600022
total_cluster_activity,0.01190451232758085
cluster_045_scaled,0.011870921301893713
cluster_020_scaled,0.011493837241986136
cluster_048_scaled,0.011307571796987515
cluster_005_scaled,0.010919863451429463
cluster_067_scaled,0.010759360221380809
cluster_038_scaled,0.010446338085148025
cluster_042_scaled,0.010391365137569853
cluster_050_scaled,0.010233098744012794
cluster_011_scaled,0.010154844471815907
cluster_051_scaled,0.009909196168825348
cluster_014_scaled,0.009898148205470681
cluster_085_scaled,0.009879543584748142
cluster_070_scaled,0.009874226560826694
cluster_033_scaled,0.009822514665122427
cluster_029_scaled,0.009814150282013755
cluster_010_scaled,0.00980689407141718
cluster_063_scaled,0.009707905509683307
cluster_041_scaled,0.009383426708815212
cluster_093_scaled,0.009366711976353276
cluster_027_scaled,0.009142888211503768
cluster_095_scaled,0.009119875652140506
cluster_001_scaled,0.009103595280517853
cluster_049_scaled,0.009075485990117123
cluster_002_scaled,0.009071158181129083
cluster_071_scaled,0.009049054124948445
cluster_058_scaled,0.008999449534333398
cluster_046_scaled,0.008922654184779335
cluster_066_scaled,0.008883029216398566
cluster_057_scaled,0.008858415438387265
cluster_diversity,0.008823288963235552
cluster_073_scaled,0.008772582422137229
cluster_054_scaled,0.008663203278967597
cluster_035_scaled,0.008369521922560273
cluster_068_scaled,0.008321559818355206
cluster_015_scaled,0.008223360740072152
num_active_clusters,0.008127942339229349
cluster_028_scaled,0.007827026084826733
cluster_082_scaled,0.00780917160903232
cluster_036_scaled,0.007690162239694981
cluster_097_scaled,0.007672982527819028
cluster_091_scaled,0.007568782926969284
cluster_021_scaled,0.007545933673734675
cluster_013_scaled,0.007443369204659131
cluster_096_scaled,0.007394189588158409
cluster_032_scaled,0.007356088654123377
cluster_000_scaled,0.007341320175622342
cluster_092_scaled,0.007089314000185124
cluster_043_scaled,0.006959281578449341
cluster_059_scaled,0.0069010327917856515
cluster_065_scaled,0.006761729166152287
cluster_004_scaled,0.006554803099893216
cluster_072_scaled,0.0065105640075454226
cluster_090_scaled,0.0063866909844500774
cluster_086_scaled,0.006151700916148557
cluster_077_scaled,0.006069817491878846
cluster_089_scaled,0.006062613504890905
cluster_024_scaled,0.005902532846529138
cluster_044_scaled,0.005582543251483595
cluster_018_scaled,0.005421574293055532
cluster_053_scaled,0.005319371274894483
cluster_026_scaled,0.005102338648575028
cluster_088_scaled,0.00506034226195981
cluster_083_scaled,0.004934307309624995
cluster_034_scaled,0.0048634746313529235
cluster_023_scaled,0.004806454280175628
cluster_094_scaled,0.004667367456508806
cluster_064_scaled,0.004491960188881912
cluster_008_scaled,0.004111793175414396
cluster_047_scaled,0.003744539965507351
cluster_052_scaled,0.0035852580142345814
cluster_076_scaled,0.0035339879835713773
cluster_080_scaled,0.0030870588606746897
cluster_007_scaled,0.0030196063725902974
cluster_075_scaled,0.00244453336615668
cluster_099_scaled,0.0017515909551240943
cluster_055_scaled,0.0013277614105804436
