video_name,category_A,category_B,category_C,category_D,category_E,category_F,category_G,total_segments
300_t1_20231027,2,279,226,0,0,99,2,608
303_t1_20231122,0,275,114,0,0,158,3,550
306_t1_20231117,7,367,177,0,0,70,30,651
308_t1_20231004,1,393,40,0,0,17,0,451
310_t1_20231107,2,332,184,0,0,78,30,626
312_t1_20231023,1,226,58,0,0,86,190,561
315_t1_20231102,2,393,162,0,0,133,0,690
318_t1_20231121,1,350,29,0,0,96,3,479
320_t1_20231127,4,121,34,0,0,222,0,381
321_t1_20231121,4,136,398,13,0,19,94,664
324_t1_20231114,4,680,183,0,0,73,58,998
325_t1_20240125,2,482,269,0,0,175,0,928
327_t1_20231128,2,207,103,0,0,149,286,747
337_t1_20231207,2,320,11,0,0,51,0,384
338_t1_20231208,0,208,14,0,0,52,3,277
350_t1_20231117,2,399,46,0,0,177,1,625
371_t1_20231123,1,872,164,0,0,472,0,1509
385_t1_20231206,0,383,178,0,0,155,5,721
386_t1_20231124,1,232,172,0,0,141,0,546
389_t1_20231108,1,735,281,0,0,228,5,1250
399_t1_20240417,0,242,49,0,0,323,0,614
416_t1_20231103,3,422,85,0,0,377,0,887
417_t1_20231031,0,651,0,0,0,5,0,656
418_t1_20231116,0,505,69,0,0,71,0,645
430_t1_20231206,1,311,135,0,0,528,0,975
438_t1_20231211,1,671,239,0,0,424,3,1338
439_t1_20240206,8,629,96,0,0,63,1,797
444_t1_20231212,0,257,155,0,0,114,0,526
447_t1_20231211,0,373,134,0,0,85,35,627
453_t1_20240119,0,348,70,0,0,369,0,787
459_t1_20240124,1,416,26,0,0,235,0,678
460_t1_20240108,1,324,57,0,0,22,11,415
467_t1_20231212,0,617,150,0,0,26,21,814
469_t1_20231129,1,215,49,0,0,83,1,349
471_t1_20240109,0,497,274,0,0,132,3,906
472_t1_20240108,0,299,92,0,0,141,1,533
476_t1_20240112_1,6,515,82,0,0,163,4,770
476_t1_20240119_2,0,73,76,0,0,215,0,364
482_t1_20240124,8,412,87,0,0,183,107,797
498_t1_20240430,1,183,84,0,0,423,12,703
502_t1_20240308,1,474,365,0,0,76,0,916
507_t1_20240122,1,772,175,0,0,230,8,1186
511_t1_20230209,20,784,10,0,0,153,0,967
512_t1_20240131,0,11,155,0,0,232,235,633
516_t1_20240206,19,107,377,0,0,218,76,797
518_t1_20240207,1,558,114,0,0,52,56,781
535_t1_20240220,13,232,209,0,0,211,45,710
536_t1_20240221,0,301,50,0,0,64,5,420
537_t1_20240223,5,318,98,0,0,80,4,505
538_t1_20240318,2,476,185,0,0,175,6,844
540_t1_20240304,0,628,76,0,0,89,0,793
545_t1_20240306,0,71,163,0,0,38,41,313
552_t1_20240219,1,580,48,0,0,129,27,785
556_t1_20220223_02,0,224,155,0,0,306,2,687
556_t1_20240222_01,0,349,205,0,0,373,1,928
559_t1_20240207,0,260,9,0,0,104,0,373
565_t1_20240305,1,88,34,0,0,462,0,585
566_t1_20240305,1,444,102,0,0,288,0,835
567_t1_20240306,0,547,31,0,0,48,0,626
568_t1_20240307,0,506,157,0,0,194,2,859
569_t1_20240320,0,64,248,0,0,104,0,416
574_t1_20240319,1,275,33,0,0,346,0,655
576_t1_20240402,0,255,35,0,0,488,4,782
577_t1_20240419,0,172,25,0,0,22,9,228
592_t1_20240430,1,270,51,0,0,70,4,396
594_t1_20240301,2,105,99,0,0,148,0,354
597_t1_20240402,0,611,79,0,0,42,0,732
603_t1_20240418,1,358,118,0,0,113,4,594
606_t1_20240415,2,529,26,0,0,151,8,716
610_t1_20240404,1,911,79,0,0,74,2,1067
611_t1_20240404,0,343,90,0,0,233,1,667
613_t1_20240417,12,220,237,3,0,212,28,712
615_t1_20240613,2,274,29,0,0,97,0,402
616_t1_20240516,0,147,196,0,0,333,1,677
624_t1_20240506,2,337,193,0,0,329,16,877
625_t1_20240508,17,407,113,0,0,252,0,789
634_t1_20240515,0,839,19,0,0,57,0,915
637_t1_20240426,3,208,85,0,0,43,19,358
640_t1_20240527,0,229,73,0,0,45,0,347
641_t1_20240531,9,22,282,0,0,106,248,667
655_t1_20240528,0,470,41,0,0,296,0,807
663_t1_20240529,93,1,54,0,0,20,944,1112
664_t1_20240517,1,274,240,0,0,76,14,605
666_t1_20240604,5,296,110,0,0,340,6,757
673_t1_20240514,7,240,328,0,0,331,1,907
674_t1_20240506,1,221,243,0,0,60,0,525
683_t1_20240611,2,259,119,0,0,54,0,434
691_t1_20240517,0,194,191,0,0,240,0,625
692_t1_20240611,0,327,97,0,0,25,0,449
706_t1_20240613,0,437,139,0,0,136,0,712
720_t1_20240626,2,143,121,0,0,55,65,386
726_t1_20240709,0,311,36,0,0,28,8,383
729_t1_20240903,3,249,139,0,0,293,7,691
731_t1_20240710,2,577,256,0,0,191,1,1027
732_t1_20240807,2,397,78,0,0,144,2,623
735_t1_20240712,0,293,56,0,0,95,0,444
742_t1_20240711,3,461,196,0,0,211,76,947
745_t1_20240830,5,414,52,0,0,26,100,597
753_t1_20240611,2,495,54,0,0,17,9,577
756_t1_20240806,4,525,90,0,0,132,88,839
760_t1_20240807,2,327,209,0,0,150,1,689
763_t1_20240726,6,95,524,0,0,79,1,705
769_t1_20240807,1,510,10,0,0,13,0,534
770_t1_20240819,1,221,85,0,0,197,17,521
783_t1_20241017,0,267,34,0,0,34,0,335
788_t1_20241022,0,0,155,0,0,0,279,434
792_t1_20240708,2,276,206,0,0,125,10,619
795_t1_20240925,8,547,63,0,0,14,0,632
806_t1_20240708,4,552,219,1,0,144,5,925
845_t1_20240624,0,163,179,0,0,99,3,444
846_t1_20240627,2,341,21,0,0,183,26,573
851_t1_20240806,1,112,407,0,0,47,252,819
856_t1_20241127,0,180,134,0,0,25,0,339
857_t1_20240917,1,480,51,0,0,162,0,694
858_t1_20241114,1,302,94,0,0,95,5,497
859_t1_20240809,0,247,82,0,0,132,6,467
861_t1_20241129,2,299,134,0,0,179,4,618
865_t1_20240819,1,89,46,0,0,301,0,437
866_t1_20241022,0,366,28,0,0,13,0,407
873_t1_20241105,0,499,19,0,0,40,0,558
875_t1_20240809,0,179,145,0,0,91,0,415
877_t1_20241023,1,359,135,0,0,131,0,626
887_t1_20241022,0,305,145,0,0,143,4,597
906_t1_20240923,0,387,6,0,0,36,0,429
910_t1_20241021,2,605,63,0,0,62,2,734
929_t1_20241030,0,66,114,0,0,157,7,344
932_t1_20241007,2,531,94,0,0,131,2,760
933_t1_20240902,1,183,67,0,0,91,4,346
935_t1_20240920,0,438,0,0,0,276,1,715
940_t1_20240919,2,337,83,0,0,61,1,484
952_t1_20241009,0,460,21,0,0,36,0,517
954_t1_20241016,1,358,117,0,0,196,1,673
955_t1_20240911,0,202,43,0,0,253,0,498
970_t1_20241014,1,803,117,0,0,31,9,961
982_t1_20241113,2,305,55,0,0,62,0,424
984_t1_20241106,1,370,315,0,0,331,5,1022
987_t1_20241203,2,464,169,0,0,169,2,806
992_t1_20241119,0,642,7,0,0,26,0,675
