cluster_id,segment_count,percentage,rank
3,23027,13.951529839442593,1
14,8545,5.177219024538019,2
12,5805,3.517116025446834,3
29,5237,3.1729778854892454,4
24,5131,3.1087549227506814,5
36,4945,2.9960617994547105,6
28,4259,2.580430172674947,7
5,3573,2.1647985458951835,8
9,3549,2.150257497727961,9
85,3430,2.0781581338988184,10
31,3413,2.0678582247803696,11
87,3167,1.9188124810663436,12
10,3146,1.906089063920024,13
11,2798,1.6952438654953044,14
20,2728,1.6528324750075734,15
16,2609,1.5807331111784308,16
40,2604,1.5777037261435929,17
19,2592,1.5704332020599818,18
1,2503,1.5165101484398666,19
27,2356,1.4274462284156317,20
6,2179,1.320205998182369,21
35,2112,1.2796122387155406,22
30,1862,1.1281429869736443,23
21,1810,1.0966373826113298,24
37,1809,1.0960315056043624,25
67,1711,1.036655558921539,26
49,1710,1.0360496819145713,27
13,1639,0.9930324144198729,28
15,1618,0.9803089972735536,29
74,1560,0.9451681308694335,30
69,1509,0.9142684035140866,31
51,1495,0.9057861254165405,32
48,1379,0.8355043926083005,33
17,1366,0.8276279915177219,34
22,1323,0.8015752802181157,35
46,1303,0.7894577400787641,36
58,1297,0.7858224780369585,37
61,1289,0.7809754619812178,38
25,1283,0.7773401999394123,39
79,1209,0.732505301423811,40
38,1194,0.7234171463192972,41
66,1130,0.6846410178733717,42
70,1128,0.6834292638594366,43
81,1074,0.6507119054831869,44
56,1069,0.647682520448349,45
82,1035,0.627082702211451,46
18,1034,0.6264768252044836,47
23,1033,0.6258709481975159,48
41,988,0.5986064828839746,49
32,956,0.5792184186610119,50
53,895,0.5422599212359891,51
84,879,0.5325658891245078,52
59,867,0.5252953650408967,53
52,838,0.5077249318388367,54
44,796,0.48227809754619816,55
62,793,0.4804604665252954,56
50,791,0.47924871251136014,57
57,760,0.460466525295365,58
71,759,0.4598606482883975,59
34,745,0.45137837019085125,60
72,741,0.44895486216298086,61
65,733,0.44410784610724025,62
97,705,0.42714328991214784,63
42,683,0.41381399575886096,64
92,671,0.4065434716752499,65
93,652,0.39503180854286574,66
90,644,0.3901847924871251,67
98,625,0.37867312935474096,68
73,624,0.3780672523477734,69
33,622,0.37685549833383825,70
4,614,0.3720084822780976,71
43,592,0.3586791881248107,72
7,579,0.35080278703423207,73
95,578,0.35019691002726444,74
89,565,0.34232050893668586,75
45,545,0.33020296879733413,76
63,543,0.328991214783399,77
94,488,0.29566797940018175,78
26,487,0.2950621023932142,79
91,474,0.2871857013026356,80
2,472,0.2859739472887004,81
54,461,0.2793093002120569,82
64,459,0.27809754619812177,83
80,449,0.27203877612844596,84
78,434,0.26295062102393213,85
77,421,0.25507421993335355,86
60,416,0.2520448348985156,87
75,414,0.2508330808845804,88
83,406,0.24598606482883972,89
0,380,0.2302332626476825,90
68,364,0.22053923053620114,91
88,361,0.2187215995152984,92
39,323,0.19569827325053016,93
47,322,0.19509239624356256,94
96,308,0.18661011814601636,95
86,301,0.18236897909724326,96
8,272,0.16479854589518328,97
76,269,0.1629809148742805,98
99,242,0.1466222356861557,99
55,167,0.10118146016358678,100
