,clustering_type,model_type,balance_method,accuracy,precision,recall,f1_score,auc_roc
Top1_XGBoost_none_top1_xgb_none,top1,XGBoost,none,0.43478260869565216,0.4092391304347826,0.43478260869565216,0.4162689585439838,0.6112300541648368
Top1_Random Forest_none_top1_rf_none,top1,Random Forest,none,0.5434782608695652,0.5062111801242236,0.5434782608695652,0.5046747083106332,0.6178794283413849
Top1_SVM_none_top1_svm_none,top1,SVM,none,0.5217391304347826,0.40707587382779203,0.5217391304347826,0.4347080319188604,0.46891011564924606
Top1_XGBoost_smote_top1_xgb_smote,top1,XGBoost,smote,0.41304347826086957,0.39558629776021076,0.41304347826086957,0.40245044457133533,0.5943721636656419
Top1_Random Forest_smote_top1_rf_smote,top1,Random Forest,smote,0.4782608695652174,0.495311167945439,0.4782608695652174,0.4806479113384484,0.5965314375640463
Top1_SVM_smote_top1_svm_smote,top1,SVM,smote,0.34782608695652173,0.37450592885375494,0.34782608695652173,0.3368387234953952,0.5719857085346215
